Date/Time,Electricity:Facility [J](Monthly),Electricity:Building [J](Monthly),Electricity:HVAC [J](Monthly),Electricity:Plant [J](Monthly),Electricity:Facility [J](RunPeriod),Electricity:Building [J](RunPeriod),Electricity:HVAC [J](RunPeriod),Electricity:Plant [J](RunPeriod),NaturalGas:Facility [J](Monthly),NaturalGas:HVAC [J](Monthly),NaturalGas:Plant [J](Monthly),NaturalGas:Facility [J](RunPeriod),NaturalGas:HVAC [J](RunPeriod),NaturalGas:Plant [J](RunPeriod) 
January,12697646775.186175,11169000000.0,1397961272.0852509,130685503.10103515,,,,,11201723836.300757,5193629555.372772,6008094280.927994 
February,11762362475.990183,10170000000.0,1258612899.1633106,333749576.82696226,,,,,8606964058.75036,4126158107.034415,4480805951.715959 
March,13426209754.722853,11587500000.0,1358987353.2208849,479722401.5020407,,,,,5502090575.064932,2485494363.403432,3016596211.661505 
April,13847059419.758399,10350000000.0,1404544832.6191495,2092514587.1393064,,,,,3123720746.270101,1320546527.6911879,1803174218.5789157 
May,18769474590.691907,11587500000.0,1884966725.635371,5297007865.056559,,,,,345097656.54586717,90664818.40087658,254432838.14499054 
June,20878620935.90763,11115000000.0,2578157977.385426,7185462958.522189,,,,,965375.2079566574,0.0,965375.2079566574 
July,22998466855.975366,10822500000.0,3176957717.2972319,8999009138.678124,,,,,0.0,0.0,0.0 
August,22150314402.922124,11587500000.0,2785923614.7354896,7776890788.18663,,,,,0.0,0.0,0.0 
September,18764830772.928735,10768500000.0,2091753927.4375017,5904576845.491255,,,,,2119145.7455018835,0.0,2119145.7455018835 
October,15959743404.853243,11169000000.0,1460249107.0610326,3330494297.792246,,,,,856312389.2348873,420273489.3245579,436038899.9103299 
November,14393359935.687182,11115000000.0,1353273225.7699006,1925086709.9174209,,,,,5138840156.060563,2402168421.8030207,2736671734.2575447 
December,12256180295.306355,10822500000.0,1351867276.8958677,81813018.41061674,197904269619.9276,132264000000.0,22103255929.300867,43537013690.62298,10002671493.446543,4883689321.957319,5118982171.489235,44780505432.62754,20922624604.98759,23857880827.640039 
